               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033954,            0.018011,            0.038819,            0.071169,                0.59,             0.15058,            0.066683,            0.017767,           0.0080798,            0.024062,            0.006436,            0.006436,            0.006436
                  38,            0.039984,            0.018182,            0.042649,            0.026897,                0.47,            0.097186,            0.049567,              0.0248,           0.0066842,            0.024478,            0.006337,            0.006337,            0.006337
                  39,            0.040622,            0.018991,            0.051284,             0.11734,                 0.3,             0.17144,            0.065774,            0.020096,           0.0073686,            0.024497,            0.006238,            0.006238,            0.006238
                  40,            0.040606,            0.018586,            0.039332,           0.0058969,                0.43,            0.074244,            0.022367,            0.027305,           0.0063687,            0.024211,            0.006139,            0.006139,            0.006139
                  41,            0.043736,            0.017702,            0.061643,           0.0056329,                0.42,             0.10563,            0.041078,            0.026914,           0.0065235,            0.024047,             0.00604,             0.00604,             0.00604
                  42,            0.057717,            0.018602,            0.039092,            0.039469,                0.21,            0.086991,            0.026235,            0.027828,           0.0080999,            0.023544,            0.005941,            0.005941,            0.005941
                  43,            0.042891,            0.020427,            0.045062,             0.47141,                0.08,            0.069158,            0.022865,            0.028007,           0.0088342,            0.022962,            0.005842,            0.005842,            0.005842
                  44,            0.034715,            0.018323,            0.044948,             0.28921,                0.16,             0.11062,            0.031042,            0.029039,           0.0086452,            0.022907,            0.005743,            0.005743,            0.005743
                  45,            0.031821,            0.017184,            0.035642,             0.33476,             0.23928,            0.089288,            0.022715,            0.026345,           0.0079575,            0.022975,            0.005644,            0.005644,            0.005644
                  46,            0.031563,            0.017654,             0.03538,            0.099036,                0.42,             0.15964,            0.045889,            0.022051,           0.0070486,            0.023258,            0.005545,            0.005545,            0.005545
                  47,            0.040549,            0.018696,            0.042171,             0.34124,             0.24426,             0.12474,            0.035666,            0.022108,           0.0070742,               0.023,            0.005446,            0.005446,            0.005446
                  48,            0.032378,            0.016702,            0.042108,             0.11658,                0.55,             0.17945,            0.057391,            0.018128,           0.0072693,            0.022928,            0.005347,            0.005347,            0.005347
                  49,            0.038625,            0.016296,            0.044233,             0.12128,                0.33,             0.14389,            0.055345,            0.016251,           0.0073897,            0.023284,            0.005248,            0.005248,            0.005248
                  50,            0.027926,            0.016479,            0.035816,             0.18017,             0.36907,             0.21331,            0.093466,            0.014447,           0.0072588,            0.022936,            0.005149,            0.005149,            0.005149
                  51,            0.029142,             0.01673,            0.033729,             0.13619,                0.29,             0.21777,            0.098561,            0.014138,            0.006865,            0.022994,             0.00505,             0.00505,             0.00505
                  52,            0.030179,            0.014759,            0.033121,              0.2928,                0.21,             0.24037,             0.10355,            0.013912,           0.0068222,             0.02316,            0.004951,            0.004951,            0.004951
                  53,            0.034801,            0.016761,            0.043418,             0.12928,             0.28671,             0.16951,             0.05992,            0.016695,           0.0070134,            0.022928,            0.004852,            0.004852,            0.004852
                  54,            0.033289,             0.01828,            0.038313,             0.12968,             0.29996,             0.19575,            0.085967,            0.013115,           0.0071233,            0.023224,            0.004753,            0.004753,            0.004753
                  55,            0.039089,            0.017597,             0.04995,            0.098597,                0.12,             0.13439,            0.049218,            0.019477,           0.0065718,             0.02372,            0.004654,            0.004654,            0.004654
                  56,            0.036405,            0.018194,            0.035548,             0.11936,                0.12,             0.21609,             0.10713,            0.012673,           0.0071173,            0.023835,            0.004555,            0.004555,            0.004555
                  57,            0.028958,            0.016435,            0.032195,            0.070762,             0.13721,             0.21585,            0.096476,            0.015033,           0.0068755,            0.023671,            0.004456,            0.004456,            0.004456
                  58,            0.027836,            0.017548,            0.032091,             0.07936,                0.12,             0.21185,             0.10364,             0.01339,           0.0069763,            0.023527,            0.004357,            0.004357,            0.004357
                  59,            0.044937,            0.017425,            0.045167,            0.097909,              0.1289,             0.16364,            0.054855,            0.016614,           0.0067634,            0.023235,            0.004258,            0.004258,            0.004258
                  60,            0.027117,            0.020292,            0.033443,             0.19401,                0.17,             0.21456,            0.088501,            0.012616,           0.0070676,            0.023263,            0.004159,            0.004159,            0.004159
                  61,            0.036631,            0.015983,            0.045769,            0.043584,            0.072255,             0.18518,            0.070454,            0.014214,           0.0065729,            0.023249,             0.00406,             0.00406,             0.00406
                  62,            0.024055,            0.017503,            0.031437,             0.22038,                0.04,             0.21233,               0.106,            0.013194,           0.0064766,             0.02313,            0.003961,            0.003961,            0.003961
                  63,            0.027196,            0.017404,            0.032687,            0.044801,                0.08,             0.10288,            0.042154,            0.014811,           0.0061894,            0.023712,            0.003862,            0.003862,            0.003862
                  64,            0.032304,            0.018133,            0.040913,             0.17509,                0.25,              0.1593,            0.073387,            0.012699,           0.0063792,            0.023765,            0.003763,            0.003763,            0.003763
                  65,            0.029585,            0.017223,            0.039847,            0.072371,             0.17551,             0.10825,            0.042521,            0.015452,           0.0060881,            0.023796,            0.003664,            0.003664,            0.003664
                  66,            0.051982,            0.017982,            0.041876,             0.14966,             0.31466,             0.15098,            0.071135,            0.013341,           0.0061043,            0.023811,            0.003565,            0.003565,            0.003565
                  67,            0.039303,            0.017922,            0.033952,            0.076999,                 0.2,             0.12739,            0.053751,            0.015364,           0.0058244,            0.023866,            0.003466,            0.003466,            0.003466
                  68,            0.032999,            0.017016,            0.030667,             0.10945,                0.55,             0.16549,            0.077077,            0.012764,            0.005986,            0.023964,            0.003367,            0.003367,            0.003367
                  69,            0.032236,            0.016262,            0.036342,             0.10357,                0.55,             0.15286,            0.069993,            0.013514,           0.0057653,            0.024004,            0.003268,            0.003268,            0.003268
                  70,            0.026403,            0.015363,            0.029859,            0.088795,                0.63,             0.16991,            0.079296,            0.011971,           0.0057736,            0.024333,            0.003169,            0.003169,            0.003169
                  71,            0.045848,            0.016016,            0.042826,             0.10796,                0.58,             0.16802,            0.068706,            0.012616,           0.0056515,            0.024816,             0.00307,             0.00307,             0.00307
                  72,            0.024338,            0.014986,            0.029139,            0.096721,                0.87,              0.1777,            0.085935,            0.011492,           0.0055252,            0.025591,            0.002971,            0.002971,            0.002971
                  73,            0.033452,             0.01592,            0.037888,             0.10265,                0.96,              0.1864,            0.075851,            0.012532,           0.0053892,            0.025556,            0.002872,            0.002872,            0.002872
                  74,            0.023319,            0.016604,            0.026097,            0.041475,                0.96,             0.20269,            0.093505,            0.010547,           0.0053963,             0.02567,            0.002773,            0.002773,            0.002773
                  75,            0.040159,            0.015882,            0.043745,             0.03754,                0.92,             0.17158,            0.075811,             0.01217,           0.0053033,            0.025915,            0.002674,            0.002674,            0.002674
                  76,            0.031237,            0.015617,             0.03092,            0.046507,                   1,             0.22483,             0.10588,             0.01007,           0.0053788,            0.026156,            0.002575,            0.002575,            0.002575
                  77,            0.029714,            0.016011,            0.028519,             0.03765,                0.92,             0.17216,            0.077759,            0.012819,           0.0052188,            0.026195,            0.002476,            0.002476,            0.002476
                  78,            0.025782,            0.014507,            0.027881,            0.048842,                   1,             0.20491,             0.10549,            0.010678,           0.0052314,            0.026344,            0.002377,            0.002377,            0.002377
                  79,            0.025186,            0.015664,            0.028738,            0.043958,                0.96,             0.23267,            0.093213,            0.011486,           0.0052204,            0.026409,            0.002278,            0.002278,            0.002278
                  80,            0.023141,            0.016668,            0.026576,            0.046685,                   1,             0.23534,             0.10995,            0.010903,           0.0052015,            0.026271,            0.002179,            0.002179,            0.002179
                  81,            0.028642,            0.017159,            0.035791,            0.045427,                   1,             0.23089,             0.11516,            0.010135,           0.0052664,            0.026067,             0.00208,             0.00208,             0.00208
                  82,            0.022016,            0.015608,            0.024405,             0.16127,                0.86,              0.2238,             0.11746,           0.0099178,           0.0053093,             0.02576,            0.001981,            0.001981,            0.001981
                  83,            0.033326,            0.014378,            0.035957,             0.16176,                0.86,             0.22825,             0.12166,           0.0099542,           0.0052878,            0.025915,            0.001882,            0.001882,            0.001882
                  84,            0.042031,            0.014166,            0.038458,             0.15481,             0.54669,             0.23047,             0.12047,           0.0097611,            0.005361,            0.025921,            0.001783,            0.001783,            0.001783
                  85,            0.038674,            0.015546,            0.041049,             0.15963,             0.44141,             0.22608,             0.10877,            0.010912,           0.0052886,            0.025835,            0.001684,            0.001684,            0.001684
                  86,            0.029522,            0.017112,            0.036819,             0.16062,             0.42952,             0.22515,             0.11428,             0.01027,           0.0053334,            0.025653,            0.001585,            0.001585,            0.001585
                  87,            0.030841,            0.013747,            0.027152,             0.14905,             0.42842,             0.24287,             0.11652,             0.01062,            0.005415,            0.025494,            0.001486,            0.001486,            0.001486
                  88,            0.021496,             0.01561,            0.025054,             0.17625,              0.5981,             0.25847,              0.1242,            0.010552,           0.0054485,            0.025417,            0.001387,            0.001387,            0.001387
                  89,            0.027866,            0.015564,            0.033194,             0.17322,                0.63,             0.25849,             0.12466,            0.010274,           0.0054781,            0.025366,            0.001288,            0.001288,            0.001288
                  90,            0.036133,            0.014769,             0.03129,             0.17034,                0.63,             0.27447,             0.14037,            0.010345,           0.0054636,            0.025479,            0.001189,            0.001189,            0.001189
                  91,              0.0202,            0.016002,            0.023473,             0.16942,             0.64679,             0.25434,             0.10768,            0.010928,            0.005439,            0.025533,             0.00109,             0.00109,             0.00109
                  92,            0.022536,            0.014936,            0.025516,             0.17286,             0.64986,             0.25809,             0.12525,            0.010074,           0.0054571,             0.02555,            0.000991,            0.000991,            0.000991
                  93,            0.019104,             0.01514,            0.020244,             0.17441,              0.6304,              0.2605,             0.12345,            0.010128,           0.0054409,            0.025485,            0.000892,            0.000892,            0.000892
                  94,            0.040491,            0.015764,            0.028074,             0.18218,             0.61478,             0.26184,             0.12761,            0.010062,           0.0054431,            0.025554,            0.000793,            0.000793,            0.000793
                  95,            0.049872,            0.017328,            0.042047,             0.16902,                0.29,             0.26496,              0.1295,            0.010108,           0.0054071,             0.02558,            0.000694,            0.000694,            0.000694
                  96,            0.025533,            0.014247,            0.038028,             0.16966,             0.32094,             0.26412,             0.12753,           0.0099765,           0.0053953,            0.025678,            0.000595,            0.000595,            0.000595
                  97,            0.021678,            0.014079,            0.025276,             0.17231,             0.33775,             0.26396,             0.12715,           0.0099801,           0.0053785,            0.025759,            0.000496,            0.000496,            0.000496
                  98,            0.019518,             0.01303,            0.022864,             0.16498,                0.34,             0.26473,             0.12706,           0.0099821,           0.0053535,            0.025803,            0.000397,            0.000397,            0.000397
                  99,            0.025579,            0.015133,            0.025938,              0.1627,             0.34043,             0.26639,             0.12866,           0.0099783,           0.0053397,             0.02585,            0.000298,            0.000298,            0.000298
