               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03834,            0.013594,            0.030167,             0.14379,                0.76,             0.29203,             0.14318,             0.01192,           0.0046848,            0.024364,            0.006535,            0.006535,            0.006535
                  37,            0.029788,            0.013019,             0.01959,            0.095897,                0.72,               0.227,             0.08859,            0.016567,            0.004532,            0.024269,            0.006436,            0.006436,            0.006436
                  38,            0.035115,            0.013609,            0.023007,            0.061111,                   1,             0.29465,             0.14557,            0.013586,            0.004545,            0.024605,            0.006337,            0.006337,            0.006337
                  39,            0.039229,             0.01407,            0.032264,            0.058626,                   1,             0.36076,             0.13726,            0.012705,           0.0048122,            0.024107,            0.006238,            0.006238,            0.006238
                  40,            0.037429,            0.014337,              0.0206,            0.058361,                   1,             0.36584,             0.16933,            0.010738,           0.0049438,            0.024258,            0.006139,            0.006139,            0.006139
                  41,             0.03941,             0.01395,             0.03762,            0.059383,                   1,              0.2834,            0.091465,            0.013392,           0.0045323,            0.024352,             0.00604,             0.00604,             0.00604
                  42,            0.035527,            0.014725,            0.021292,            0.058094,                   1,             0.26984,             0.13119,            0.010931,           0.0046135,            0.025616,            0.005941,            0.005941,            0.005941
                  43,            0.039447,            0.015345,            0.022183,             0.05154,                   1,             0.31445,              0.1463,            0.011341,           0.0045406,            0.025658,            0.005842,            0.005842,            0.005842
                  44,            0.032436,            0.014251,            0.031707,            0.051244,                   1,             0.28876,             0.16264,            0.010604,           0.0045377,            0.026107,            0.005743,            0.005743,            0.005743
                  45,              0.0298,            0.013497,            0.019344,             0.05242,                   1,             0.28441,             0.13722,            0.011938,           0.0045133,            0.026304,            0.005644,            0.005644,            0.005644
                  46,            0.028428,            0.014482,            0.020456,            0.067053,                   1,             0.28683,             0.14909,            0.010464,            0.004628,            0.026338,            0.005545,            0.005545,            0.005545
                  47,            0.034693,            0.015118,              0.0208,            0.076917,                   1,             0.29291,             0.15196,            0.011174,           0.0045928,            0.026898,            0.005446,            0.005446,            0.005446
                  48,            0.028844,            0.013569,            0.023438,            0.082507,                0.96,             0.25145,             0.12114,            0.011122,           0.0045803,            0.026916,            0.005347,            0.005347,            0.005347
                  49,            0.031551,            0.013473,            0.025598,            0.085441,                   1,             0.26336,             0.13007,             0.01278,           0.0043988,            0.026997,            0.005248,            0.005248,            0.005248
                  50,            0.026605,            0.012941,            0.018361,            0.094994,                   1,             0.28198,             0.15017,            0.010861,           0.0046731,            0.026216,            0.005149,            0.005149,            0.005149
